Date,Value
1996/1/31,631.484
1996/2/29,638.590
1996/3/29,644.658
1996/4/30,652.369
1996/5/31,662.151
1996/6/28,664.253
1996/7/31,641.376
1996/8/30,657.754
1996/9/30,683.084
1996/10/31,699.934
1996/11/29,744.123
1996/12/31,739.952
1997/1/31,766.640
1997/2/28,772.588
1997/3/31,757.957
1997/4/30,781.011
1997/5/30,820.997
1997/6/30,856.565
1997/7/31,908.498
1997/8/29,849.934
1997/9/30,905.866
1997/10/31,863.248
1997/11/28,888.423
1997/12/31,907.138
1998/1/30,923.560
1998/2/27,993.182
1998/3/31,"1,048.725"
1998/4/30,"1,059.406"
1998/5/29,"1,050.137"
1998/6/30,"1,074.889"
1998/7/31,"1,073.225"
1998/8/31,926.547
1998/9/30,946.222
1998/10/30,"1,022.703"
1998/11/30,"1,083.794"
1998/12/31,"1,136.626"
1999/1/29,"1,162.019"
1999/2/26,"1,129.182"
1999/3/31,"1,162.896"
1999/4/30,"1,207.065"
1999/5/31,"1,164.505"
1999/6/30,"1,210.860"
1999/7/30,"1,190.418"
1999/8/31,"1,187.766"
1999/9/30,"1,162.602"
1999/10/29,"1,223.350"
1999/11/30,"1,253.571"
1999/12/31,"1,357.450"
2000/1/31,"1,275.462"
2000/2/29,"1,283.343"
2000/3/31,"1,368.070"
2000/4/28,"1,315.878"
2000/5/31,"1,286.264"
2000/6/30,"1,321.764"
2000/7/31,"1,300.172"
2000/8/31,"1,335.574"
2000/9/29,"1,262.624"
2000/10/31,"1,247.175"
2000/11/30,"1,167.115"
2000/12/29,"1,196.391"
2001/1/31,"1,223.280"
2001/2/28,"1,113.054"
2001/3/30,"1,033.462"
2001/4/30,"1,108.876"
2001/5/31,"1,090.587"
2001/6/29,"1,059.023"
2001/7/31,"1,052.088"
2001/8/31,997.100
2001/9/28,908.956
2001/10/31,927.973
2001/11/30,986.753
2001/12/31,999.463
2002/1/31,972.818
2002/2/28,958.810
2002/3/29,998.546
2002/4/30,954.744
2002/5/31,948.226
2002/6/28,888.466
2002/7/31,811.429
2002/8/30,812.373
2002/9/30,716.662
2002/10/31,780.151
2002/11/29,822.056
2002/12/31,779.516
2003/1/31,755.881
2003/2/28,739.708
2003/3/31,738.755
2003/4/30,809.096
2003/5/30,853.657
2003/6/30,862.869
2003/7/31,877.787
