Date,Value,Vix
1996/1/31,631.484,12.53
1996/2/29,638.59,17.040001
1996/3/29,644.658,18.879999
1996/4/30,652.369,15.83
1996/5/31,662.151,16.07
1996/6/28,664.253,13.68
1996/7/31,641.376,19.459999
1996/8/30,657.754,17.01
1996/9/30,683.084,16.950001
1996/10/31,699.934,18.110001
1996/11/29,744.123,17.139999
1996/12/31,739.952,20.92
1997/1/31,766.64,19.469999
1997/2/28,772.588,21.1
1997/3/31,757.957,22.139999
1997/4/30,781.011,20.059999
1997/5/30,820.997,19.190001
1997/6/30,856.565,21.530001
1997/7/31,908.498,21.48
1997/8/29,849.934,24.76
1997/9/30,905.866,22.91
1997/10/31,863.248,35.09
1997/11/28,888.423,27.43
1997/12/31,907.138,24.01
1998/1/30,923.56,21.469999
1998/2/27,993.182,18.549999
1998/3/31,1048.725,24.219999
1998/4/30,1059.406,21.18
1998/5/29,1050.137,21.32
1998/6/30,1074.889,19.709999
1998/7/31,1073.225,24.799999
1998/8/31,926.547,44.279999
1998/9/30,946.222,40.950001
1998/10/30,1022.703,28.049999
1998/11/30,1083.794,26.01
1998/12/31,1136.626,24.42
1999/1/29,1162.019,26.25
1999/2/26,1129.182,27.879999
1999/3/31,1162.896,23.26
1999/4/30,1207.065,25.07
1999/5/31,1164.505,0.0
1999/6/30,1210.86,21.09
1999/7/30,1190.418,24.639999
1999/8/31,1187.766,24.450001
1999/9/30,1162.602,25.41
1999/10/29,1223.35,22.200001
1999/11/30,1253.571,24.18
1999/12/31,1357.45,24.639999
2000/1/31,1275.462,24.950001
2000/2/29,1283.343,23.370001
2000/3/31,1368.07,24.110001
2000/4/28,1315.878,26.200001
2000/5/31,1286.264,23.65
2000/6/30,1321.764,19.540001
2000/7/31,1300.172,20.74
2000/8/31,1335.574,16.84
2000/9/29,1262.624,20.57
2000/10/31,1247.175,23.629999
2000/11/30,1167.115,29.65
2000/12/29,1196.391,26.85
2001/1/31,1223.28,22.02
2001/2/28,1113.054,28.35
2001/3/30,1033.462,28.639999
2001/4/30,1108.876,25.48
2001/5/31,1090.587,22.639999
2001/6/29,1059.023,19.059999
2001/7/31,1052.088,21.620001
2001/8/31,997.1,24.92
2001/9/28,908.956,31.93
2001/10/31,927.973,33.560001
2001/11/30,986.753,23.84
2001/12/31,999.463,23.799999
2002/1/31,972.818,21.09
2002/2/28,958.81,21.59
2002/3/29,998.546,0.0
2002/4/30,954.744,21.91
2002/5/31,948.226,19.98
2002/6/28,888.466,25.4
2002/7/31,811.429,32.029999
2002/8/30,812.373,32.639999
2002/9/30,716.662,39.689999
2002/10/31,780.151,31.139999
2002/11/29,822.056,27.5
2002/12/31,779.516,28.620001
2003/1/31,755.881,31.17
2003/2/28,739.708,29.629999
2003/3/31,738.755,29.15
2003/4/30,809.096,21.209999
2003/5/30,853.657,19.469999
2003/6/30,862.869,19.52
2003/7/31,877.787,19.49
2003/8/29,888.292,18.629999
2003/9/30,888.003,22.719999
2003/10/31,940.985,16.1
2003/11/28,958.377,16.32
2003/12/31,1016.912,18.309999
2004/1/30,1032.315,16.629999
2004/2/27,1050.29,14.55
2004/3/31,1026.739,16.74
2004/4/30,1007.703,17.190001
2004/5/31,1019.139,0.0
2004/6/30,1034.757,14.34
2004/7/30,1003.188,15.32
2004/8/31,1005.266,15.29
2004/9/30,1027.955,13.34
2004/10/29,1052.161,16.27
2004/11/30,1106.076,13.24
2004/12/31,1145.693,13.29
2005/1/31,1119.268,12.82
2005/2/28,1154.087,12.08
2005/3/31,1129.61,14.02
2005/4/29,1102.805,15.31
2005/5/31,1122.379,13.29
2005/6/30,1131.385,12.04
2005/7/29,1173.014,11.57
2005/8/31,1171.924,12.6
2005/9/30,1191.366,11.92
2005/10/31,1159.954,15.32
2005/11/30,1194.864,12.06
2005/12/30,1211.065,12.07
2006/1/31,1263.438,12.95
2006/2/28,1260.785,12.34
2006/3/31,1285.326,11.39
2006/4/28,1322.193,11.59
2006/5/31,1277.449,16.440001
2006/6/30,1276.833,13.08
