Date,Value,Ratio,HALF_YEAR
1996/1/3,621.320007,100,100
1996/1/4,617.700012,99.41737028,99.41737028
1996/1/5,616.710022,99.25803371,99.25803371
1996/1/8,618.460022,99.53969211,99.53969211
1996/1/9,609.450012,98.0895521,98.0895521
1996/1/10,598.47998,96.32395115,96.32395115
1996/1/11,602.690002,97.00154433,97.00154433
1996/1/12,601.809998,96.85990974,96.85990974
1996/1/15,599.820007,96.53962535,96.53962535
1996/1/16,608.440002,97.92699336,97.92699336
1996/1/17,606.369995,97.59383058,97.59383058
1996/1/18,608.23999,97.8948019,97.8948019
1996/1/19,611.830017,98.47260833,98.47260833
1996/1/22,613.400024,98.72529728,98.72529728
1996/1/23,612.789978,98.62711181,98.62711181
1996/1/24,619.960022,99.7811136,99.7811136
1996/1/25,617.030029,99.30953809,99.30953809
1996/1/26,621.619995,100.0482824,100.0482824
1996/1/29,624.219971,100.4667424,100.4667424
1996/1/30,630.150024,101.4211706,101.4211706
1996/1/31,636.02002,102.3659327,102.3659327
1996/2/1,638.460022,102.7586453,102.7586453
1996/2/2,635.840027,102.3369632,102.3369632
1996/2/5,641.429993,103.2366551,103.2366551
1996/2/6,646.330017,104.0253025,104.0253025
1996/2/7,649.929993,104.6047102,104.6047102
1996/2/8,656.070007,105.5929311,105.5929311
1996/2/9,656.369995,105.6412135,105.6412135
1996/2/12,661.450012,106.4588303,106.4588303
1996/2/13,660.51001,106.3075392,106.3075392
1996/2/14,655.580017,105.5140684,105.5140684
1996/2/15,651.320007,104.8284297,104.8284297
1996/2/16,647.97998,104.2908602,104.2908602
1996/2/20,640.650024,103.111121,103.111121
1996/2/21,648.099976,104.3101733,104.3101733
1996/2/22,658.859985,106.0419715,106.0419715
1996/2/23,659.080017,106.0773852,106.0773852
1996/2/26,650.460022,104.6900172,104.6900172
1996/2/27,647.23999,104.1717606,104.1717606
1996/2/28,644.75,103.7710025,103.7710025
1996/2/29,640.429993,103.0757075,103.0757075
1996/3/1,644.369995,103.7098416,103.7098416
1996/3/4,650.809998,104.746345,104.746345
1996/3/5,655.789978,105.5478611,105.5478611
1996/3/6,652,104.937873,104.937873
1996/3/7,653.650024,105.2034405,105.2034405
1996/3/8,633.5,101.9603413,101.9603413
1996/3/11,640.02002,103.0097233,103.0097233
1996/3/12,637.090027,102.5381478,102.5381478
1996/3/13,638.549988,102.7731251,102.7731251
1996/3/14,640.869995,103.1465248,103.1465248
1996/3/15,641.429993,103.2366551,103.2366551
1996/3/18,652.650024,105.0424929,105.0424929
1996/3/19,651.690002,104.8879796,104.8879796
1996/3/20,649.97998,104.6127555,104.6127555
1996/3/21,649.190002,104.4856104,104.4856104
1996/3/22,650.619995,104.7157644,104.7157644
1996/3/25,650.039978,104.6224121,104.6224121
1996/3/26,652.969971,105.0939876,105.0939876
1996/3/27,648.909973,104.4405404,104.4405404
1996/3/28,648.940002,104.4453735,104.4453735
1996/3/29,645.5,103.8917132,103.8917132
1996/4/1,653.72998,105.2163093,105.2163093
1996/4/2,655.26001,105.462564,105.462564
1996/4/3,655.880005,105.5623507,105.5623507
1996/4/4,655.859985,105.5591286,105.5591286
1996/4/8,644.23999,103.6889176,103.6889176
1996/4/9,642.190002,103.3589768,103.3589768
1996/4/10,633.5,101.9603413,101.9603413
1996/4/11,631.179993,101.5869417,101.5869417
1996/4/12,636.710022,102.4769869,102.4769869
1996/4/15,642.48999,103.4072592,103.4072592
1996/4/16,645,103.8112394,103.8112394
1996/4/17,641.609985,103.2656244,103.2656244
1996/4/18,643.609985,103.5875198,103.5875198
1996/4/19,645.070007,103.8225069,103.8225069
1996/4/22,647.890015,104.2763806,104.2763806
1996/4/23,651.580017,104.8702777,104.8702777
1996/4/24,650.169983,104.6433361,104.6433361
1996/4/25,652.869995,105.0778967,105.0778967
1996/4/26,653.460022,105.1728601,105.1728601
1996/4/29,654.159973,105.2855156,105.2855156
1996/4/30,654.169983,105.2871267,105.2871267
1996/5/1,654.580017,105.3531207,105.2871267
1996/5/2,643.380005,103.550505,105.2871267
1996/5/3,641.630005,103.2688466,105.2871267
1996/5/6,640.809998,103.1368684,105.2871267
1996/5/7,638.26001,102.7264538,105.2871267
1996/5/8,644.77002,103.7742247,105.2871267
1996/5/9,645.440002,103.8820567,105.2871267
1996/5/10,652.090027,104.9523627,105.2871267
1996/5/13,661.51001,106.4684869,105.2871267
1996/5/14,665.599976,107.1267573,105.2871267
1996/5/15,665.419983,107.0977879,105.2871267
1996/5/16,664.849976,107.0060466,105.2871267
1996/5/17,668.909973,107.6594936,105.2871267
1996/5/20,673.150024,108.3419199,105.2871267
1996/5/21,672.76001,108.279148,105.2871267
1996/5/22,678.419983,109.1901074,105.2871267
1996/5/23,676,108.8006168,105.2871267
1996/5/24,678.51001,109.204597,105.2871267
1996/5/28,672.22998,108.1938409,105.2871267
1996/5/29,667.929993,107.5017681,105.2871267
1996/5/30,671.700012,108.1085438,105.2871267
1996/5/31,669.119995,107.6932961,105.2871267
1996/6/3,667.679993,107.4615312,105.2871267
1996/6/4,672.559998,108.2469565,105.2871267
1996/6/5,678.440002,109.1933294,105.2871267
1996/6/6,673.030029,108.3226069,105.2871267
1996/6/7,673.309998,108.3676673,105.2871267
