Year,Percent
1996,-5.316031356779074
1997,7.101889604216688
1998,-2.4282591738635366
1999,-3.7828750633849864
2000,-2.6341632056749926
2001,-2.0610964161425285
2002,-5.887578339646024
2003,0.8133796464556704
2004,-2.411108776600553
2005,3.3270917721261832
2006,-0.2757330679573035
2007,-4.222638207734175
2008,-1.3643001094347444
2009,6.9476743763221505
2010,7.2252432289498545
2011,-3.537439327858849
2012,1.0113390527250772
2013,4.382153162247968
2014,-2.1613272640583805
2015,1.2717778298074818
2016,3.3595733919584774
