Year,Percent
1996,0.30306297335272675
1997,-5.033051422708602
1998,-13.947711357839504
1999,-0.5752806534477187
2000,5.533695801966966
2001,-6.772601575978472
2002,3.5505205342889403
2003,2.842420580300872
2004,-0.2150697629496549
2005,-1.2158514017731226
2006,2.588668119235368
2007,0.5580484967868626
2008,1.786853706291027
2009,1.794280034537769
2010,-6.797473044572235
2011,-5.287731294369714
2012,2.2729263900314263
2013,-4.329563717007049
2014,4.063058464268548
2015,-5.998931510381916
2016,0.005060851815268863
