Year,Percent
1996,4.980762378485628
1997,2.1238072876682095
1998,2.2881338655066696
1999,-3.6331663219747923
2000,-5.540614878770425
2001,-8.120465760858897
2002,-7.14562191873484
2003,-2.5460150544136
2004,0.7839626853408261
2005,0.5910406274571435
2006,1.8947197817353052
2007,2.5063417234366185
2008,-8.705519406254679
2009,5.9155924914262314
2010,5.638292477118738
2011,-6.061008396834684
2012,2.5431765413807015
2013,2.5479200430801883
2014,-1.4977919954072536
2015,0.3229120922485537
2016,-0.11931155727852895
