Date,Value,Vix
1996/01/04,1631.06,13.78
1996/01/05,1632.03,13.58
1996/01/08,1621.42,13.11
1996/01/09,1622.83,15.21
1996/01/10,1617.45,16.4
1996/01/11,1599.98,14.69
1996/01/12,1592.21,14.23
1996/01/16,1603.08,14.09
1996/01/17,1605.01,14.25
1996/01/18,1587.31,13.58
1996/01/19,1585.52,12.7
1996/01/22,1570.39,13.34
1996/01/23,1564.1,13.56
1996/01/24,1573.63,12.54
1996/01/25,1583.64,12.94
1996/01/26,1597.14,12.0
1996/01/29,1593.22,12.19
1996/01/30,1598.14,12.42
1996/01/31,1613.11,12.53
1996/02/01,1624.52,12.65
1996/02/02,1617.51,13.23
1996/02/05,1601.0,13.46
1996/02/06,1602.89,14.59
1996/02/07,1622.14,14.11
1996/02/08,1630.07,13.89
1996/02/09,1620.5,14.63
1996/02/13,1610.23,14.94
1996/02/14,1617.41,15.59
1996/02/15,1610.26,16.129999
1996/02/16,1603.74,15.37
1996/02/19,1596.51,0.0
1996/02/20,1589.91,16.799999
1996/02/21,1572.71,14.47
1996/02/22,1572.46,14.56
1996/02/23,1568.18,14.78
1996/02/26,1572.12,16.379999
1996/02/27,1553.37,16.629999
1996/02/28,1547.22,16.719999
1996/02/29,1560.46,17.040001
1996/03/01,1564.83,16.719999
1996/03/04,1556.04,16.67
1996/03/05,1554.08,16.1
1996/03/06,1551.9,16.559999
1996/03/07,1530.17,16.49
1996/03/08,1543.9,20.700001
1996/03/11,1525.48,19.4
1996/03/12,1535.75,19.09
1996/03/13,1524.12,18.129999
1996/03/14,1533.89,16.93
1996/03/15,1552.35,16.540001
1996/03/18,1558.79,17.309999
1996/03/19,1569.73,18.35
1996/03/21,1588.01,17.74
1996/03/22,1584.91,17.049999
1996/03/25,1598.54,17.84
1996/03/26,1603.66,17.799999
1996/03/27,1619.63,17.889999
1996/03/28,1620.69,18.16
1996/03/29,1636.88,18.879999
1996/04/01,1649.75,17.9
1996/04/02,1650.02,16.450001
1996/04/03,1645.59,16.33
1996/04/04,1642.5,16.18
1996/04/05,1658.73,0.0
1996/04/08,1645.12,18.719999
1996/04/09,1664.98,17.32
1996/04/10,1669.71,20.219999
1996/04/11,1672.34,19.65
1996/04/12,1672.69,17.379999
1996/04/15,1683.01,16.83
1996/04/16,1679.33,16.450001
1996/04/17,1677.48,17.07
1996/04/18,1673.31,16.41
1996/04/19,1679.4,15.12
1996/04/22,1696.42,15.38
1996/04/23,1702.61,15.01
1996/04/24,1711.8,14.91
1996/04/25,1714.05,14.72
1996/04/26,1718.0,14.75
1996/04/30,1712.42,15.83
1996/05/01,1697.61,16.07
1996/05/02,1685.8,18.620001
1996/05/07,1670.47,16.870001
1996/05/08,1681.18,15.78
1996/05/09,1664.76,16.99
1996/05/10,1657.94,15.61
1996/05/13,1643.1,15.16
1996/05/14,1652.01,14.9
1996/05/15,1690.16,15.59
1996/05/16,1697.56,15.71
1996/05/17,1684.33,15.13
1996/05/20,1689.04,15.8
1996/05/21,1689.3,16.0
1996/05/22,1683.12,15.5
1996/05/23,1662.1,16.17
1996/05/24,1664.55,15.54
1996/05/27,1658.44,0.0
1996/05/28,1675.23,16.92
1996/05/29,1680.86,17.15
1996/05/30,1673.41,16.02
1996/05/31,1680.57,16.07
1996/06/03,1658.64,16.860001
1996/06/04,1675.55,16.18
1996/06/05,1675.1,16.040001
1996/06/06,1668.48,16.84
1996/06/07,1659.69,16.1
1996/06/10,1657.92,16.780001
1996/06/11,1666.53,16.68
1996/06/12,1684.63,17.0
1996/06/13,1684.85,17.120001
1996/06/14,1700.1,18.639999
1996/06/17,1692.21,17.459999
1996/06/18,1698.16,17.450001
1996/06/19,1698.63,17.540001
1996/06/20,1700.53,16.969999
1996/06/21,1709.6,15.8
1996/06/24,1718.91,15.91
1996/06/25,1715.53,15.43
1996/06/26,1722.13,15.23
1996/06/27,1712.21,14.19
1996/06/28,1712.45,13.68
1996/07/01,1708.21,13.78
1996/07/02,1699.43,14.19
1996/07/03,1698.34,14.21
1996/07/04,1692.29,0.0
1996/07/05,1690.5,16.09
1996/07/08,1669.44,16.42
1996/07/09,1667.32,15.49
1996/07/10,1658.17,15.51
1996/07/11,1660.62,17.809999
1996/07/12,1647.25,17.09
1996/07/15,1644.47,20.110001
1996/07/16,1626.11,20.1
1996/07/17,1625.54,19.219999
1996/07/18,1636.08,17.93
1996/07/19,1630.6,17.26
1996/07/22,1603.23,20.41
1996/07/23,1609.7,21.549999
1996/07/24,1581.71,21.440001
1996/07/25,1590.44,19.389999
1996/07/26,1603.24,17.450001
1996/07/29,1598.08,20.09
1996/07/30,1591.26,20.530001
1996/07/31,1584.43,19.459999
1996/08/01,1597.38,18.76
1996/08/02,1597.97,16.190001
1996/08/05,1601.88,17.360001
1996/08/06,1584.81,16.93
1996/08/07,1568.44,16.24
1996/08/08,1578.9,16.040001
1996/08/09,1567.44,15.77
1996/08/12,1570.52,15.57
1996/08/13,1580.71,16.41
1996/08/14,1589.73,15.96
1996/08/15,1588.79,15.46
1996/08/16,1584.84,14.81
1996/08/19,1591.77,15.27
1996/08/20,1594.86,14.73
1996/08/21,1605.92,14.52
1996/08/22,1613.96,13.71
1996/08/23,1607.3,14.18
1996/08/26,1582.87,15.38
1996/08/27,1583.12,15.11
1996/08/28,1572.12,15.1
1996/08/29,1559.21,16.219999
1996/08/30,1543.49,17.01
1996/09/02,1539.67,0.0
1996/09/03,1546.12,18.469999
1996/09/04,1540.99,18.639999
1996/09/05,1557.8,20.51
1996/09/06,1545.92,17.1
1996/09/09,1542.58,16.360001
1996/09/10,1560.23,16.25
1996/09/11,1559.15,16.059999
1996/09/12,1554.34,15.97
1996/09/13,1575.75,15.2
1996/09/17,1604.96,15.74
1996/09/18,1597.48,15.86
1996/09/19,1601.89,16.030001
1996/09/20,1592.39,15.65
1996/09/24,1589.48,16.450001
1996/09/25,1602.37,16.219999
1996/09/26,1611.64,16.110001
1996/09/27,1622.25,16.1
1996/09/30,1627.55,16.950001
1996/10/01,1622.91,17.049999
1996/10/02,1620.21,16.780001
1996/10/03,1608.02,16.77
1996/10/04,1593.6,14.8
1996/10/07,1590.88,15.11
1996/10/08,1581.72,15.58
1996/10/09,1569.96,16.09
1996/10/11,1571.87,15.07
1996/10/14,1576.25,15.13
1996/10/15,1601.86,15.83
1996/10/16,1600.9,15.6
1996/10/17,1602.57,15.41
1996/10/18,1615.21,15.08
1996/10/21,1597.06,15.98
1996/10/22,1583.81,16.4
1996/10/23,1576.73,16.450001
1996/10/24,1571.09,16.889999
1996/10/25,1557.76,17.290001
1996/10/28,1564.94,18.34
1996/10/29,1572.8,18.280001
1996/10/30,1562.88,18.48
1996/10/31,1550.55,18.110001
1996/11/01,1557.57,17.889999
1996/11/05,1553.8,17.65
1996/11/06,1573.17,16.969999
1996/11/07,1561.99,17.209999
1996/11/08,1576.65,15.78
1996/11/11,1572.83,14.04
1996/11/12,1576.75,15.36
1996/11/13,1567.78,14.89
1996/11/14,1569.85,13.79
1996/11/15,1564.74,14.36
1996/11/18,1556.33,15.12
1996/11/19,1562.08,15.23
1996/11/20,1572.78,15.94
1996/11/21,1570.61,15.77
1996/11/22,1573.56,14.92
1996/11/25,1578.47,15.91
1996/11/26,1584.79,16.969999
1996/11/27,1584.79,16.959999
1996/11/28,1568.38,0.0
1996/11/29,1562.8,17.139999
1996/12/02,1542.19,17.93
1996/12/03,1535.64,18.68
1996/12/04,1536.36,17.93
1996/12/05,1551.76,18.139999
1996/12/06,1517.01,18.82
1996/12/09,1532.77,17.75
1996/12/10,1542.99,17.879999
1996/12/11,1524.9,19.68
1996/12/12,1512.43,20.450001
1996/12/13,1501.95,21.09
1996/12/16,1511.98,21.99
1996/12/17,1515.42,20.77
1996/12/18,1498.48,19.42
1996/12/19,1469.73,18.77
1996/12/20,1475.84,18.85
1996/12/24,1448.45,18.68
1996/12/25,1469.43,0.0
1996/12/26,1460.01,18.59
1996/12/27,1466.8,19.129999
1996/12/30,1470.94,19.51
1997/01/06,1480.86,19.889999
1997/01/07,1453.05,19.35
1997/01/08,1433.28,20.24
1997/01/09,1392.18,20.91
1997/01/10,1337.03,19.629999
1997/01/13,1383.11,19.84
1997/01/14,1386.58,19.27
1997/01/16,1394.01,19.610001
1997/01/17,1388.36,18.629999
1997/01/20,1359.17,18.6
