Date, Open, High, Low, Close
11/02/16, 1376.68, 1377.61, 1363.02, 1368.44
11/01/16, 1391.97, 1394.92, 1384.45, 1393.19
10/31/16, 1387.32, 1393.44, 1385.20, 1393.02
10/28/16, 1389.80, 1392.75, 1386.77, 1392.41
10/27/16, 1381.10, 1387.85, 1377.65, 1382.01
10/26/16, 1375.49, 1382.79, 1372.77, 1382.70
10/25/16, 1372.45, 1378.96, 1372.00, 1377.32
10/24/16, 1366.62, 1368.70, 1361.51, 1367.61
10/21/16, 1372.64, 1373.18, 1362.95, 1365.29
10/20/16, 1356.27, 1370.80, 1355.44, 1370.80
10/19/16, 1355.60, 1359.01, 1353.33, 1357.20
10/18/16, 1350.06, 1356.65, 1347.47, 1356.57
10/17/16, 1346.24, 1354.93, 1344.46, 1352.56
10/14/16, 1341.14, 1348.14, 1337.92, 1347.19
10/13/16, 1348.21, 1353.97, 1337.15, 1342.31
10/12/16, 1342.52, 1352.28, 1342.19, 1342.35
10/11/16, 1353.90, 1362.33, 1353.29, 1356.35
10/07/16, 1352.90, 1354.01, 1345.80, 1350.61
10/06/16, 1355.44, 1360.20, 1353.02, 1353.93
10/05/16, 1345.24, 1349.81, 1340.62, 1347.81
10/04/16, 1334.10, 1341.05, 1332.63, 1340.21
10/03/16, 1332.14, 1338.34, 1329.06, 1330.72
09/30/16, 1323.23, 1328.65, 1315.86, 1322.78
09/29/16, 1340.62, 1347.93, 1337.81, 1343.25
09/28/16, 1333.77, 1337.03, 1324.40, 1330.77
09/27/16, 1321.37, 1349.22, 1313.77, 1349.22
09/26/16, 1347.14, 1347.45, 1333.65, 1335.84
09/23/16, 1347.85, 1351.08, 1341.53, 1349.56
09/21/16, 1316.64, 1353.52, 1309.51, 1352.67
09/20/16, 1305.17, 1323.98, 1304.75, 1316.97
09/16/16, 1304.75, 1313.24, 1302.01, 1311.50
09/15/16, 1306.54, 1307.41, 1296.39, 1301.11
09/14/16, 1314.43, 1320.85, 1312.86, 1314.74
09/13/16, 1328.32, 1330.46, 1317.74, 1322.99
09/12/16, 1325.33, 1329.67, 1316.68, 1323.10
09/09/16, 1345.45, 1349.57, 1340.64, 1343.86
09/08/16, 1346.33, 1348.29, 1337.36, 1345.95
09/07/16, 1340.33, 1350.38, 1339.17, 1349.53
09/06/16, 1344.87, 1353.70, 1343.87, 1352.58
09/05/16, 1357.01, 1357.41, 1342.68, 1343.85
09/02/16, 1335.55, 1341.51, 1334.56, 1340.76
09/01/16, 1330.77, 1338.52, 1327.88, 1337.38
08/31/16, 1323.89, 1331.00, 1322.68, 1329.54
08/30/16, 1310.09, 1315.46, 1308.39, 1312.81
08/29/16, 1309.17, 1316.39, 1307.88, 1313.24
08/26/16, 1299.32, 1299.32, 1287.90, 1287.90
08/25/16, 1306.43, 1307.60, 1301.79, 1304.27
08/24/16, 1305.35, 1310.57, 1302.60, 1306.71
08/23/16, 1299.72, 1307.61, 1292.85, 1297.56
08/22/16, 1300.35, 1304.84, 1296.25, 1303.68
08/19/16, 1296.26, 1300.03, 1288.60, 1295.67
08/18/16, 1302.29, 1306.37, 1290.74, 1290.79
08/17/16, 1297.40, 1312.87, 1297.14, 1311.13
08/16/16, 1318.52, 1319.09, 1298.47, 1298.47
08/15/16, 1319.07, 1322.99, 1315.92, 1316.63
08/12/16, 1325.32, 1325.57, 1318.69, 1323.22
08/10/16, 1311.98, 1318.99, 1308.40, 1314.83
08/09/16, 1305.27, 1317.87, 1304.79, 1317.49
08/08/16, 1295.61, 1305.53, 1294.23, 1305.53
08/05/16, 1285.20, 1289.64, 1278.12, 1279.90
08/04/16, 1276.69, 1284.66, 1262.86, 1282.99
08/03/16, 1282.43, 1284.27, 1269.77, 1271.98
08/02/16, 1308.74, 1312.94, 1300.20, 1300.20
08/01/16, 1308.30, 1325.24, 1299.07, 1321.83
07/29/16, 1303.69, 1323.99, 1288.88, 1322.74
07/28/16, 1313.76, 1316.37, 1303.73, 1307.00
07/27/16, 1316.53, 1331.29, 1313.72, 1321.67
07/26/16, 1316.98, 1317.34, 1302.63, 1306.94
07/25/16, 1330.59, 1339.06, 1324.12, 1325.36
07/22/16, 1322.10, 1330.90, 1321.27, 1327.51
07/21/16, 1344.40, 1347.24, 1332.74, 1339.39
07/20/16, 1325.92, 1331.32, 1319.07, 1330.75
07/19/16, 1326.06, 1331.39, 1316.38, 1331.39
07/15/16, 1315.43, 1325.64, 1310.26, 1317.10
07/14/16, 1301.13, 1312.43, 1299.53, 1311.16
07/13/16, 1305.84, 1314.91, 1297.28, 1300.26
07/12/16, 1276.12, 1297.49, 1275.16, 1285.73
07/11/16, 1231.26, 1263.71, 1231.07, 1255.79
07/08/16, 1228.97, 1234.14, 1209.88, 1209.88
07/07/16, 1230.78, 1238.49, 1222.70, 1226.09
07/06/16, 1237.33, 1238.09, 1218.14, 1234.20
07/05/16, 1256.87, 1259.07, 1249.56, 1256.64
07/04/16, 1248.50, 1263.50, 1246.75, 1261.97
07/01/16, 1254.87, 1260.54, 1248.49, 1254.44
06/30/16, 1262.42, 1264.40, 1245.82, 1245.82
06/29/16, 1241.27, 1251.92, 1232.41, 1247.69
06/28/16, 1208.57, 1233.65, 1198.57, 1224.62
06/27/16, 1216.70, 1227.16, 1212.24, 1225.76
06/24/16, 1307.84, 1309.08, 1192.80, 1204.48
06/23/16, 1285.72, 1300.65, 1282.06, 1298.71
06/22/16, 1289.87, 1291.42, 1277.96, 1284.61
06/21/16, 1269.96, 1296.67, 1262.97, 1293.90
06/20/16, 1269.81, 1283.93, 1268.65, 1279.19
06/17/16, 1256.85, 1264.11, 1248.66, 1250.83
